matchID,match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,Innings,out/not_out
T209933,RR Vs KKR,RR,2,Sanju Samson,13,11,2,0,118.18,1st Innings,out
T209933,RR Vs KKR,RR,3,Riyan Parag,25,15,0,3,166.66,1st Innings,out
T209933,RR Vs KKR,RR,4,Nitish Rana,8,9,0,0,88.88,1st Innings,out
T209933,RR Vs KKR,RR,5,Wanindu Hasaranga,4,4,0,0,100.00,1st Innings,out
T209933,RR Vs KKR,RR,6,Dhruv Jurel,33,28,5,0,117.85,1st Innings,out
T209933,RR Vs KKR,RR,7,Shubham Dubey,9,12,1,0,75.00,1st Innings,out
T209933,RR Vs KKR,RR,8,Shimron Hetmyer,7,8,1,0,87.50,1st Innings,out
T209933,RR Vs KKR,RR,9,Jofra Archer,16,7,0,2,228.57,1st Innings,out
T209933,RR Vs KKR,RR,10,Maheesh Theekshana,1,1,0,0,100.00,1st Innings,not_out
T209933,RR Vs KKR,RR,11,Tushar Deshpande,2,1,0,0,200.00,1st Innings,not_out
T209933,RR Vs KKR,KKR,1,Moeen Ali,5,12,0,0,41.66,2nd Innings,out
T209933,RR Vs KKR,KKR,2,Quinton de Kock,97,61,8,6,159.01,2nd Innings,not_out
T209933,RR Vs KKR,KKR,3,Ajinkya Rahane,18,15,1,1,120.00,2nd Innings,out
T209933,RR Vs KKR,KKR,4,Angkrish Raghuvanshi,22,17,2,0,129.41,2nd Innings,not_out
T209622,PBKS Vs GT,PBKS,1,Priyansh Arya,47,23,7,2,204.34,1st Innings,out
T209622,PBKS Vs GT,PBKS,2,Prabhsimran Singh,5,8,1,0,62.50,1st Innings,out
T209622,PBKS Vs GT,PBKS,3,Shreyas Iyer,97,42,5,9,230.95,1st Innings,not_out
T209622,PBKS Vs GT,PBKS,4,Azmatullah Omarzai,16,15,2,1,106.66,1st Innings,out
T209622,PBKS Vs GT,PBKS,5,Glenn Maxwell,0,1,0,0,0.00,1st Innings,out
T209622,PBKS Vs GT,PBKS,6,Marcus Stoinis,20,15,1,2,133.33,1st Innings,out
T209622,PBKS Vs GT,PBKS,7,Shashank Singh,44,16,6,2,275.00,1st Innings,not_out
T209622,PBKS Vs GT,GT,1,Sai Sudharsan,74,41,5,6,180.48,2nd Innings,out
T209622,PBKS Vs GT,GT,2,Shubman Gill,33,14,2,3,235.71,2nd Innings,out
T209622,PBKS Vs GT,GT,3,Jos Buttler,54,33,4,2,163.63,2nd Innings,out
T209622,PBKS Vs GT,GT,4,Sherfane Rutherford,46,28,4,3,164.28,2nd Innings,out
T209622,PBKS Vs GT,GT,5,Rahul Tewatia,6,2,0,1,300.00,2nd Innings,out
T209622,PBKS Vs GT,GT,6,M Shahrukh Khan,6,1,0,1,600.00,2nd Innings,not_out
T209622,PBKS Vs GT,GT,7,Arshad Khan,1,1,0,0,100.00,2nd Innings,not_out
T208377,LSG Vs DC,LSG,1,Aiden Markram,15,13,1,1,115.38,1st Innings,out
T208377,LSG Vs DC,LSG,2,Mitchell Marsh,72,36,6,6,200.00,1st Innings,out
T208377,LSG Vs DC,LSG,3,Nicholas Pooran,75,30,6,7,250.00,1st Innings,out
T208377,LSG Vs DC,LSG,4,Rishabh Pant,0,6,0,0,0.00,1st Innings,out
T208377,LSG Vs DC,LSG,5,David Miller,27,19,1,2,142.10,1st Innings,not_out
T208377,LSG Vs DC,LSG,6,Ayush Badoni,4,5,0,0,80.00,1st Innings,out
T208377,LSG Vs DC,LSG,7,Shardul Thakur,0,2,0,0,0.00,1st Innings,out
T208377,LSG Vs DC,LSG,8,Shahbaz Ahmed,9,8,1,0,112.50,1st Innings,out
